"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
0.92,1.32,1.11,2.86,3.97,4.01,438.61,62.27,56.5,2.33,0.13,0.19,1.44,12.53,30.46,67.17,1.46,NA,0,14,68.87,4.02,5.62,4.17,1.53,3.66,3.7,378.62,103.58,48.73,2.43,0.14,0.19,1.4,17.38,28.41,93.89,1.4,NA,0,13.85,56.95,16.74,22.61,10.92,1.83,3.93,4.2,237.35,78,37.18,10.13,0.16,0.22,1.35,33.12,25.96,145.48,2.23,28547.75,0,10.68,38.6
15.57,23.92,12.14,1.26,2.21,2.22,283.8,92.46,97.08,0.83,0.35,0.54,1.54,26.11,34.89,66.1,2.81,NA,0,8.22,27.94,13.71,20.13,11.52,1.27,2.59,2.6,306.55,125.21,94.6,0.85,0.32,0.47,1.47,24.23,31.87,56.44,3.68,NA,0,8.83,29.12,22.42,35.05,22.19,1.72,2.36,2.36,360.19,76.88,119.35,0,0.36,0.56,1.56,30.97,36.03,69.37,3.08,NA,0,8.45,21.5
1.83,2.7,0.9,1.61,2.76,2.99,178.31,63.34,55.01,12.53,0.32,0.47,1.47,51.78,31.98,16.3,14.44,NA,0,24.47,85.27,0.5,0.95,0.17,1.34,1.95,2.11,124.97,34.96,57.42,9.51,0.47,0.9,1.9,60.63,47.49,11.94,NA,21567,0,20.59,89.47,22.41,33.83,11.39,1.78,2.4,2.5,185.04,37.51,60.06,5.94,0.34,0.51,1.51,66.14,33.75,68.51,4.08,28862.8,0,22.23,57.79
-1.61,-4.03,-0.33,1.71,1.76,1.76,73.8,2.18,41.28,0,0.6,1.49,2.49,119.11,59.88,-2.7,NA,NA,0,24.48,92.85,2.62,8.02,0.57,0.33,1.92,1.96,78.67,62.61,37.16,1.61,0.53,1.63,3.06,107.28,67.32,4.91,NA,6825,2.95,22.56,86.84,-0.49,-1.93,-0.15,0.5,1.36,1.36,112.76,54.57,56.37,NA,0.75,2.96,3.96,81.88,74.76,2.91,1.9,5232.75,5.93,25.51,113.19
0.74,2.5,1.06,0.07,0.35,0.57,520.08,62.97,223.34,50.13,0.7,2.36,3.36,28.54,70.26,11.04,0.75,NA,25.99,39.71,72.18,7.59,21.12,9.41,0.16,0.52,0.73,452.68,70.46,194.85,40.96,0.64,1.78,2.78,35.05,64.07,22.06,0.81,10508.31,19.03,34.06,63.4,5.52,13.27,7.67,0.35,0.62,0.82,506.09,60.91,221.23,44.74,0.58,1.41,2.41,34.01,58.43,17.46,0.86,10786.92,12.7,39.61,69.19
0.35,0.8,0.26,0.01,0.9,0.95,266.96,108.55,119.98,6.14,0.52,1.19,2.27,18.49,55.88,22.93,0.88,NA,1.95,13.3,509.65,5.16,11.9,3.53,0.04,0.88,1.27,249.61,82.39,97.98,38.3,0.45,1.04,2.3,21.58,56.6,29.48,1.02,16063.15,0,11.22,73.74,2.24,5.32,1.46,0.14,0.79,1.2,237.22,65.59,100.5,41.47,0.48,1.14,2.38,18.96,57.96,19.82,1.03,9935.79,0,10.9,108.73
45.85,93.86,23.67,0.34,1.94,1.99,187.95,140.07,87.3,4.06,0.51,1.05,2.05,106.87,51.15,96.31,8.28,NA,0,31.51,50.53,23.5,92.55,12.4,0.25,1.28,1.31,192.61,131.11,130.94,3.35,0.75,2.94,3.94,68.54,74.61,35.1,3.09,30274,0,23.77,59.46,18.58,89.53,9.65,0.34,1.21,1.25,189.12,95.08,137.06,5.63,0.79,3.82,4.82,72.63,79.25,29.26,3.15,29115,0,28.08,64.57
35.76,84.77,17.45,1.03,1.59,1.59,177.67,55.95,100.68,NA,0.57,1.36,2.37,47.84,57.82,70.07,4.67,NA,0,5.9,19.75,32.37,82.52,13.84,0.76,1.54,1.6,156.03,71.21,91.72,5.25,0.6,1.54,2.55,49.59,60.77,61.57,8.15,16775.33,0,7.36,27.46,36.27,50.71,17.43,2.26,4.91,4.91,174.89,83.66,31.5,NA,0.28,0.4,1.4,54.35,28.48,145.65,7.76,21240.33,9.8,8.69,25.34
14.78,66.53,14.34,0.11,0.29,0.39,353.16,24.97,125.52,13.61,0.78,3.5,4.5,26.86,77.78,29.28,0.7,67470.47,30.2,11.72,30.66,7.41,29.33,7.84,0.02,0.39,0.49,386.63,55.61,120.94,15.72,0.75,2.96,3.96,23.86,74.75,20.06,0.72,44890.62,27.52,17.43,48.11,6.19,26.81,6.17,0,0.41,0.62,362.74,55.25,104.51,29.66,0.77,3.33,4.33,19,76.91,16.52,0.78,49381.33,36.69,12.77,44.1
4.51,47.59,1.58,0.06,0.62,0.83,127.21,62.14,95.68,24.4,0.91,9.55,10.55,18.17,90.53,10.33,0.42,NA,12.43,4.78,53.18,4.3,33.05,1.75,0.07,0.5,0.92,148.59,55.19,99.48,53.77,0.87,6.69,7.69,17.84,87,9.86,0.67,14613.88,18.8,5.51,54.58,3.08,7.74,1.33,0.6,2.71,3.17,157.28,89.54,42.53,19.95,0.6,1.51,2.51,15.65,60.18,8.4,5.52,19418.57,32.5,5.43,57.17
