"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
14.47,32.71,4.55,0.4,1.27,1.64,114.86,54.75,63.03,23.41,0.56,1.26,2.26,19.6,55.77,26.94,5.33,24473,0,1.61,28.72,3.85,8.03,1.5,0.71,1.43,1.8,141.68,52.17,72.71,27.85,0.52,1.09,2.09,12.95,52.05,11.65,7.91,8655.5,0,3.54,72.32,5.65,11.46,2.18,0.85,1.42,1.92,140.89,40.17,70.03,34.8,0.51,1.03,2.03,17.91,50.73,15.1,14.11,NA,0,3.42,37.71
7.04,38.96,1.7,0.41,1,1.12,88.31,41.87,71.37,8.38,0.82,4.54,5.54,7.04,81.93,13.18,2.4,NA,0,0,0,2.11,12.28,0.68,0.21,0.74,0.99,117.24,51.61,91.74,24.28,0.83,4.83,5.83,2.11,82.84,8,0.99,NA,3.72,0,0,9.8,34.98,2.46,0.44,0.92,1.21,91.46,29.81,62.43,18.03,71.98,256.92,3.57,9.8,71.98,25.13,1.68,NA,0,0,0
1.45,2.5,1.3,2.12,2.37,2.37,327.99,NA,136.22,NA,0.42,0.73,1.73,1.45,42.11,3.44,NA,NA,0,0,0,-50.63,-61.23,-43.56,5.4,5.78,5.78,313.16,NA,53.58,NA,0.17,0.21,1.21,-50.63,17.3,-292.68,NA,NA,0,0,0,40.1,48.86,NA,5.58,5.58,5.58,260.57,NA,46.2,NA,0.18,0.22,1.22,40.1,17.93,223.69,NA,NA,0,0,0
0.09,4.48,0.03,0.04,0.72,1.03,125.81,81.69,119.85,38.24,0.98,48.36,49.39,23.28,97.98,0.22,10.93,14430.83,0,7.99,96.56,1.56,45.55,0.54,0.11,0.73,1.04,125.03,73.63,117.91,36.09,0.97,28.11,29.12,24.5,96.51,1.83,4.19,12392,0,5.71,65.88,5.68,62.13,1.87,0.18,0.89,1.11,120.12,74.99,105.81,23.16,0.91,9.94,10.94,32.59,90.86,6.56,13.73,NA,0,6.42,44.49
-4.76,-19.05,-1.56,0.35,0.61,1.11,119.55,20.83,81.91,41.44,0.75,3,4,67.87,74.99,2.4,1.21,7734.75,0,23.79,92.21,-3.59,-16.62,-1.28,0.42,0.71,1.2,129.94,26.51,91.37,45.55,0.78,3.63,4.63,68.74,78.41,6.49,1.73,8114,0,25.82,86.95,2.13,16.24,1.42,1.43,1.68,2.04,242.62,27.82,90.1,40.72,0.87,6.63,7.63,40.24,86.89,5.43,12.29,NA,45.63,18.45,58.36
20.77,46.1,8.81,1.97,2.75,2.75,154.71,43.42,55.52,NA,0.48,1.06,2.22,57.14,54.94,43.5,NA,NA,0,15.42,58.04,11.15,18.12,1.95,1.3,4.67,4.67,63.73,45.5,13.48,NA,0.34,0.55,1.63,126.66,38.48,32.74,NA,NA,0,20.22,80.2,12.78,22.32,3.55,2,2.61,2.61,101.2,23.4,38.36,NA,0.43,0.75,1.75,85.53,42.75,29.89,NA,NA,0,20.23,71.9
-13.28,-17.23,-6.88,0.51,2.52,2.52,189.06,78.22,26.96,NA,0.21,0.28,1.3,50.73,22.91,160.92,1.63,11771,6.41,33.16,59.01,-31.41,-42.53,-12.91,3.15,4.28,4.28,149.61,39.1,34.54,NA,0.24,0.33,1.35,40.8,26.15,137.45,NA,8934,0,29.68,64.23,22.54,29.35,11.29,3.91,4.31,4.31,182.21,16.66,41.78,NA,23.18,30.18,1.3,78.42,23.18,97.25,NA,NA,0,27.97,61.5
25.01,-16.85,5.8,0.14,0.31,0.41,84.65,33.59,186.76,18.93,2.48,-1.67,-0.67,104.89,248.41,10.88,-21.97,11016.33,1.63,18.52,77.87,20.19,-22.89,5.59,0.35,0.45,0.56,100.77,16.97,169.53,19.28,1.88,-2.13,-1.13,79.8,188.21,12.02,-22.14,13714.33,1.21,16.5,62.87,21.96,34.06,8.22,1.93,2.49,3.27,136.34,23.07,40.8,31.88,0.36,0.55,1.55,68.89,35.53,65.01,73.56,NA,0,17.58,65.38
-0.67,16.82,-0.75,0.69,0.71,0.97,405.24,6.75,390.06,101.59,1.04,-26,-25.02,8.23,104,2.91,0.35,NA,0,9.88,44.19,-17.53,77.61,-16.85,0.44,0.55,0.85,349.81,7.3,398.36,119.48,1.23,-5.42,-4.43,-6.5,122.54,-10.49,-6.41,NA,0,7.72,44.13,54.44,100,5.99,4.33,4.46,2.52,40.08,0.17,14.28,-36.93,0.46,0.84,1.84,149.52,45.64,167.02,-2.42,NA,12.2,7.61,34.81
35.28,255.44,4.2,0.19,0.71,0.76,43.46,15.67,29.84,1.47,0.86,6.24,7.24,60.25,86.19,50.84,0.66,8551.33,0,2.97,34.36,-5.63,-215.46,-1.12,0.06,0.7,0.75,72.61,41.51,65.18,3.3,0.97,37.25,38.25,27.48,97.39,3.26,0.3,7953.33,0,6.6,82.07,9.07,63.49,0.92,0.02,0.74,0.74,36.78,20.73,29.02,NA,85.72,600.21,7,80.22,85.72,34.76,0.49,NA,0,7.19,62.95
